Comment,Designator,Footprint,LCSC Part #
0.1uF,C22,C0603,
0.47R,R9 R23,R0402,
0R,R21 R25,R0402,
1k,R5,R0402,
1uF/6V,C41 C42,C0805,
1uF/50V,C9,C0805,
3.3k,R10,R0402,
4 7uF,C5,C0603,C108344
4.7k,R13 R14 R17,R0402,
4.7uF/25V,C20 C35,C0805,
4.7uF/50V,C13 C31,C0805,
5.1k,R6 R7 R15 R16,R0402,
10k,R1 R2 R3 R8 R11 R18 R22,R0402,
10uF,C7 C43,C0603,
10uF/6V,C21 C36,C0805,
10uF/50V,C3 C8 C10 C11 C12 C14 C15 C16 C19 C24 C25 C29 C30 C32 C33 C34 C37,C0805,
10uH/1A,L1 L2,SMNR4020,
22uF,C4 C17 C18 C23 C26 C39,C0603,
47uF,C2,C0603,C178330
100k,R4 R12,R0402,
100n,C27 C28,C0402,
100nF,C1,C0603,
100nF,C6 C38 C40,C0402,
AFC24-S30FIC-00,J5 J6,AFC24S30FIC00,
AO3401,Q5 Q7,SOT23,
AP2191WG-7,IC7,SOT25,C141321
BAT60B,D1 D3 D13,SOD323-R,
CH9102F,IC3,QFN24-4X4,
EN button,RESET,TS1088R02026,C455280
ESP32-S3-WROOM-1-N16,IC2,ESP32S3WROOM1N16,
HT7833,LDO,SOT23-5,
JST-PH-2/90SMD,BATTERY1 BATTERY2,S2B-PH-SM4,C47647
JST-SH-4P,J2,1X04_1MM_RA,C145956
LESD5D5.0CT1G,D10 D11 D12 D14 D15 D16,LESD5D50CT1G,
MAX17048,U2,TDFN-8,C2682616
MBR0530,D4 D5 D6 D7 D8 D9,SOD123-F,
ME6211C33M5G,IC1,SOT23-5,
MICRO_SD,SD_CARD,MICRO_SD,C91145
MMDT3904,Q1,SC70-6,C268586
POLIFUSE0500805L,F1 F2,0805L,
RED,CHRG,CHIP-LED0603,C2286
SHT40,SHT40,SHT40,
SI1308EDL,Q4 Q6,SOT65P210X110-3N,C469327
SLIDE_SWITCH_TA-3530A-A2,S1,TA-3530A-A2,C514025
SMF05C,IC4,SOT65P210X110-6N,C558425
TP4065-42-SOT25-R,IC5,SOT95P280X125-5N,
USB-C_2-16PIN,J7,USBC_USB-C-16P-5,C2837092
USUP_SPI_CONNECTOR,J3,1X06_1MM_RA,
918-418K2022Y40000,J8,918-418K2022Y40000,C168704
