Designator,Mid X,Mid Y,Layer,Rotation
BATTERY1,27.13,-18.41,Top,180.0
BATTERY2,23.32,19.69,Top,0.0
C1,67.01,19.69,Top,90.0
C2,67.01,16.64,Top,270.0
C3,11.30,-5.84,Top,180.0
C4,58.50, 8.18,Top,270.0
C5,64.59,10.29,Top,270.0
C6,68.81,16.36,Top,270.0
C7,25.33, 7.63,Top,0.0
C8,112.75, 5.97,Top,0.0
C9, 9.53,-0.38,Top,180.0
C10, 9.53, 4.19,Top,180.0
C11, 9.53,17.91,Top,180.0
C12, 9.53, 6.48,Top,180.0
C13, 9.53, 8.76,Top,180.0
C14, 9.53,11.05,Top,180.0
C15, 9.53, 1.91,Top,180.0
C16, 9.53,15.62,Top,180.0
C17,51.26,-1.78,Top,270.0
C18,57.86,-2.16,Top,270.0
C19, 9.53,13.34,Top,180.0
C20,11.94,-10.92,Top,270.0
C21,13.59,-1.27,Top,270.0
C22,33.99,-8.76,Top,270.0
C23,93.30,19.43,Top,180.0
C24,112.11, 0.51,Top,0.0
C25,112.11,-3.94,Top,0.0
C26,52.28, 4.06,Top,270.0
C27,53.80, 4.45,Top,270.0
C28,54.69, 6.93,Top,180.0
C29,112.11,-17.14,Top,0.0
C30,112.11,-6.16,Top,0.0
C31,112.11,-8.38,Top,0.0
C32,112.11,-10.60,Top,0.0
C33,112.11,-12.83,Top,0.0
C34,112.11,-14.92,Top,0.0
C35,110.23,11.48,Top,90.0
C36,103.28, 6.86,Top,270.0
C37,112.11,-1.71,Top,0.0
C38, 6.86,-18.80,Top,270.0
C40,77.93,-3.30,Top,90.0
C41,15.62,-1.27,Top,270.0
C42,101.25, 6.86,Top,270.0
C44,22.61, 1.04,Top,90.0
CHRG,30.33,-6.46,Top,90.0
D1,42.93, 1.02,Top,90.0
D3,50.78,10.03,Top,270.0
D4,15.75,-11.94,Top,180.0
D5,15.75,-13.84,Top,0.0
D6,15.75,-10.03,Top,180.0
D7,106.37,12.47,Top,0.0
D8,106.37,14.43,Top,180.0
D9,106.37,10.49,Top,0.0
D10,42.24, 8.51,Top,0.0
D11,42.24, 6.60,Top,0.0
D12,42.27, 3.66,Top,0.0
D13,34.42,11.99,Top,90.0
D14,32.97,19.81,Top,270.0
D15,32.97,17.02,Top,90.0
D16,42.24,12.32,Top,180.0
IC1,54.69,-2.41,Top,0.0
IC2,79.33,15.24,Top,0.0
IC3,56.85, 4.06,Top,270.0
IC4,70.18,-9.91,Top,90.0
IC6,26.50, 2.86,Top,270.0
IO40,97.23,19.81,Top,180.0
J2,43.51,-16.76,Top,180.0
J5,119.58, 0.00,Top,90.0
J6, 2.54, 0.00,Top,270.0
J7,38.94,21.59,Top,180.0
J8,43.82,8.26,Top,270.0
L1,15.88,-6.99,Top,270.0
L2,106.71, 6.86,Top,90.0
LDO,61.67,10.16,Top,0.0
Q1,61.55, 4.19,Top,90.0
Q4, 8.76,-9.91,Top,0.0
Q5,51.64,14.10,Top,0.0
Q6,113.25,10.59,Top,180.0
Q7,53.67,10.06,Top,180.0
R1,61.22, 6.10,Top,0.0
R2,68.79,18.41,Top,270.0
R3,61.67, 2.41,Top,180.0
R4,54.94,14.22,Top,180.0
R6,38.38,12.01,Top,90.0
R7,36.60,11.96,Top,90.0
R8, 8.26,-7.52,Top,180.0
R9, 8.26,-6.48,Top,180.0
R10,28.11,-6.46,Top,0.0
R11,52.76,17.40,Top,270.0
R12,53.80,17.40,Top,90.0
R13,91.65,17.96,Top,0.0
R14,91.65,14.20,Top,0.0
R15,42.24, 9.96,Top,180.0
R16,42.27, 5.13,Top,180.0
R17,32.97,-8.76,Top,90.0
R18,69.55,-7.11,Top,270.0
R19,51.26,-4.32,Top,90.0
R20,31.96,-8.76,Top,270.0
R21, 8.64,-4.32,Top,0.0
R22,113.53, 8.59,Top,0.0
R23,113.53, 7.54,Top,0.0
R24,93.30,20.57,Top,0.0
R25,113.53, 4.39,Top,180.0
R27,39.96,-2.54,Top,0.0
R30,28.15,10.41,Top,270.0
R31,29.92,10.41,Top,270.0
R32,31.70,10.41,Top,270.0
RESET,65.10, 4.19,Top,90.0
S1,59.52,17.14,Top,0.0
SD_CARD,81.23,-5.46,Top,0.0
SHT40, 8.76,-18.80,Top,180.0
