Designator,Mid X,Mid Y,Layer,Rotation
BATTERY,26.39, 5.25,Top,180.0
C1,74.69,19.49,Top,90.0
C2,74.69,16.47,Top,270.0
C3,11.28,-5.89,Top,180.0
C4,43.30, 9.79,Top,270.0
C5,50.61, 9.79,Top,270.0
C6,76.89,17.42,Top,270.0
C7,37.36,15.62,Top,90.0
C8,118.75, 5.97,Top,0.0
C9, 9.53,-0.32,Top,180.0
C10, 9.53, 4.13,Top,180.0
C11, 9.53,17.46,Top,180.0
C12, 9.53, 6.35,Top,180.0
C13, 9.53, 8.57,Top,180.0
C14, 9.53,10.79,Top,180.0
C15, 9.53, 1.91,Top,180.0
C16, 9.53,15.24,Top,180.0
C17,79.78,-12.32,Top,90.0
C18,87.68,-11.84,Top,270.0
C19, 9.53,13.02,Top,180.0
C20,11.91,-10.92,Top,270.0
C21,18.29,-3.63,Top,180.0
C22,44.64, 2.32,Top,90.0
C23,52.65, 9.79,Top,270.0
C24,118.11, 0.64,Top,0.0
C25,118.11,-3.81,Top,0.0
C26,36.65,19.53,Top,180.0
C27,40.21,16.23,Top,270.0
C28,41.83,19.51,Top,90.0
C29,118.11,-17.14,Top,0.0
C30,118.11,-6.03,Top,0.0
C31,118.11,-8.26,Top,0.0
C32,118.11,-10.48,Top,0.0
C33,118.11,-12.70,Top,0.0
C34,118.11,-14.92,Top,0.0
C35,116.23,11.48,Top,90.0
C36,111.71, 3.20,Top,180.0
C37,118.11,-1.59,Top,0.0
C38,72.01,-13.72,Top,270.0
CHARGING,33.84, 5.32,Top,270.0
D1,39.17,18.41,Top,90.0
D2,35.04,17.71,Top,180.0
D3,39.17,13.64,Top,90.0
D4,15.77,-11.86,Top,180.0
D5,15.77,-13.74,Top,0.0
D6,15.77,-9.98,Top,180.0
D7,112.37,12.47,Top,0.0
D8,112.37,14.43,Top,180.0
D9,112.37,10.49,Top,0.0
F1,40.26,10.64,Top,0.0
F2,39.40, 7.80,Top,90.0
IC1,76.66,-11.94,Top,90.0
IC2,88.29,15.21,Top,0.0
IC3,43.23,15.98,Top,270.0
IC4,83.06,-11.94,Top,0.0
J2,72.57,-21.97,Top,180.0
J3,84.48,-21.01,Top,180.0
J4,43.23,21.31,Top,180.0
J5,125.58, 0.00,Top,90.0
J6, 2.57, 0.00,Top,270.0
L1,15.77,-6.93,Top,270.0
L2,112.37, 6.86,Top,90.0
LDO,46.93, 9.69,Top,0.0
Q1,49.23,16.08,Top,90.0
Q2,58.12, 3.61,Top,90.0
Q3,52.83, 3.61,Top,90.0
Q4, 8.79,-9.96,Top,0.0
Q5,36.27,11.61,Top,90.0
Q6,119.25,10.59,Top,180.0
R1,49.23,17.96,Top,0.0
R2,78.00,18.44,Top,270.0
R3,49.23,14.25,Top,180.0
R4,55.52, 4.11,Top,90.0
R5,32.69, 0.33,Top,90.0
R6,61.26, 3.68,Top,180.0
R7,61.26, 2.64,Top,180.0
R8, 8.23,-7.47,Top,180.0
R9, 8.23,-6.43,Top,180.0
R10,36.56, 6.42,Top,270.0
R11,30.66, 0.33,Top,90.0
R13,42.56, 2.32,Top,90.0
R14,43.60, 2.32,Top,270.0
R15,49.40,22.81,Top,90.0
R16,36.91,22.96,Top,90.0
R17,35.31,14.78,Top,0.0
R18,33.25,14.78,Top,180.0
R21, 8.61,-4.27,Top,0.0
R22,119.53, 8.59,Top,0.0
R23,119.53, 7.54,Top,0.0
R25,119.53, 4.39,Top,180.0
RESET,32.55,25.87,Top,0.0
U1,33.85, 7.86,Top,180.0
